 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. HE                       5.192645e+03     5.192645e+03     1.000000e+03     5.192645e+03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.192645e+03     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    2. AR                       5.203303e+02     5.203303e+02     1.000000e+03     5.203303e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.203303e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
    3. N2                       1.037719e+03     1.169485e+03     1.000000e+03     9.790364e+02     4.179609e-01    -1.176271e-03     1.674383e-06    -7.256245e-10     8.686164e+02     4.416266e-01    -1.687218e-04     2.996768e-08    -2.004372e-12
    4. O2                       9.161200e+02     1.091817e+03     1.000000e+03     8.348595e+02     2.929696e-01    -1.495696e-04     3.414020e-07    -2.278449e-10     9.607902e+02     1.594189e-01    -3.271015e-05     4.612947e-09    -2.952949e-13
    5. H2                       1.432099e+04     1.496067e+04     1.000000e+03     1.360225e+04     3.402265e+00    -3.358372e-03    -3.907894e-07     1.705319e-09     1.233733e+04     2.887232e+00    -2.323524e-04    -3.807322e-08     6.527644e-12
    6. H2O                      1.856601e+03     2.293398e+03     1.000000e+03     1.563129e+03     1.603808e+00    -2.932883e-03     3.216209e-06    -1.156865e-09     1.233275e+03     1.410571e+00    -4.029277e-04     5.542956e-08    -2.949923e-12
    7. H2O2                     1.278500e+03     1.871252e+03     1.000000e+03     8.283548e+02     1.605797e+00    -3.629998e-05    -1.130743e-06     6.041427e-10     1.117875e+03     1.059935e+00    -3.604765e-04     5.741714e-08    -3.499569e-12
    8. CO                       1.037896e+03     1.187246e+03     1.000000e+03     9.684229e+02     4.488032e-01    -1.152257e-03     1.656939e-06    -7.346621e-10     8.979608e+02     4.282465e-01    -1.671450e-04     3.023546e-08    -2.051440e-12
    9. CO2                      8.450963e+02     1.235218e+03     1.000000e+03     4.299444e+02     1.874541e+00    -1.966556e-03     1.297298e-06    -4.000101e-10     8.414075e+02     5.932607e-01    -2.415256e-04     4.522891e-08    -3.153244e-12
   10. CH2O                     1.167529e+03     2.073926e+03     1.000000e+03     4.576557e+02     3.497756e+00    -5.228502e-03     5.676716e-06    -2.329699e-09     8.295102e+02     1.850116e+00    -7.279804e-04     1.311759e-07    -8.895741e-12
   11. HCOOH                    9.836111e+02     1.818288e+03     1.376000e+03     2.593212e+02     2.951169e+00    -1.919551e-03     6.000015e-07    -7.265352e-11     1.208073e+03     9.290689e-01    -3.292157e-04     5.233806e-08    -3.087185e-12
