time[s](1)               x[mm](2)                 T[K](3)                  P[Pa](4)                 rDepo[kmol/m2/s](5)      r1[kmol/m2/s](6)         r2[kmol/m2/s](7)         r3[kmol/m2/s](8)         r4[kmol/m2/s](9)         I_CH4[-](10)             I_C2H4[-](11)            I_C2H2[-](12)            I_C6H6[-](13)            R_CH4[kmol/m3/s](14)     R_C2H4[kmol/m3/s](15)    R_C2H2[kmol/m3/s](16)    R_C6H6[kmol/m3/s](17)    R_H2[kmol/m3/s](18)      
216000                   0                        1368                     30000                    2.24836602e-014          0                        3.66347855e-010          8.97647806e-010          2.42943406e-013          0.99421155               0.404623802              0.587298853              0.00185699215            -0                       -3.66347855e-010         -8.97647806e-010         -2.42943406e-013         1.63107235e-009          
216000                   1.10526316               1368                     30000                    2.24836602e-014          0                        3.66347855e-010          8.97647806e-010          2.42943406e-013          0.99421155               0.404623802              0.587298853              0.00185699215            -0                       -3.66347855e-010         -8.97647806e-010         -2.42943406e-013         1.63107235e-009          
216000                   2.21052632               1368                     30000                    2.23267485e-014          0                        3.64539922e-010          8.90637635e-010          2.40129676e-013          0.994234233              0.404463607              0.586620471              0.00184980468            -0                       -3.64539922e-010         -8.90637635e-010         -2.40129676e-013         1.62043787e-009          
216000                   3.31578947               1368                     30000                    2.20135652e-014          0                        3.60914686e-010          8.76662515e-010          2.34558941e-013          0.994279565              0.404134312              0.585247403              0.001835391              -0                       -3.60914686e-010         -8.76662515e-010         -2.34558941e-013         1.59919556e-009          
216000                   4.42105263               1368                     30000                    2.1545401e-014           0                        3.55453585e-010          8.55813271e-010          2.2634378e-013           0.994347471              0.40361757               0.58314588               0.00181367115            -0                       -3.55453585e-010         -8.55813271e-010         -2.2634378e-013          1.56739947e-009          
216000                   5.52631579               1368                     30000                    2.09242172e-014          0                        3.48129255e-010          8.28227123e-010          2.15650888e-013          0.994437843              0.402884441              0.580262189              0.00178451859            -0                       -3.48129255e-010         -8.28227123e-010         -2.15650888e-013         1.52513259e-009          
216000                   6.63157895               1368                     30000                    2.01526803e-014          0                        3.38906146e-010          7.94088971e-010          2.02698451e-013          0.994550533              0.401893497              0.576518508              0.00174775123            -0                       -3.38906146e-010         -7.94088971e-010         -2.02698451e-013         1.47250936e-009          
216000                   7.73684211               1368                     30000                    1.92342115e-014          0                        3.27741441e-010          7.53633314e-010          1.87752648e-013          0.994685353              0.400587929              0.571806412              0.00170311741            -0                       -3.27741441e-010         -7.53633314e-010         -1.87752648e-013         1.40967945e-009          
216000                   8.84210526               1368                     30000                    1.81730603e-014          0                        3.14586381e-010          7.07147043e-010          1.71123299e-013          0.994842074              0.398891241              0.565976944              0.00165027453            -0                       -3.14586381e-010         -7.07147043e-010         -1.71123299e-013         1.33683317e-009          
216000                   9.94736842               1368                     30000                    1.69744097e-014          0                        2.99388125e-010          6.54973546e-010          1.53158764e-013          0.995020421              0.396700859              0.558825364              0.00158875678            -0                       -2.99388125e-010         -6.54973546e-010         -1.53158764e-013         1.25420927e-009          
216000                   11.0526316               1368                     30000                    1.56445335e-014          0                        2.82092408e-010          5.97518887e-010          1.34240298e-013          0.995220072              0.393878516              0.550067289              0.00151792601            -0                       -2.82092408e-010         -5.97518887e-010         -1.34240298e-013         1.16210642e-009          
216000                   12.1578947               1368                     30000                    1.41910358e-014          0                        2.62647358e-010          5.35261486e-010          1.14776323e-013          0.995440655              0.39023551               0.539300272              0.00143689612            -0                       -2.62647358e-010         -5.35261486e-010         -1.14776323e-013         1.06090053e-009          
216000                   13.2631579               1368                     30000                    1.26232329e-014          0                        2.41009134e-010          4.68767987e-010          9.51974475e-014          0.995681744              0.385509394              0.525939594              0.00134441506            -0                       -2.41009134e-010         -4.68767987e-010         -9.51974475e-014         9.51071847e-010          
216000                   14.3684211               1368                     30000                    1.09527964e-014          0                        2.17150525e-010          3.98720824e-010          7.59538104e-014          0.995942852              0.379325824              0.509105765              0.00123867687            -0                       -2.17150525e-010         -3.98720824e-010         -7.59538104e-014         8.33249735e-010          
216000                   15.4736842               1368                     30000                    9.19490576e-015          0                        1.91074719e-010          3.25969289e-010          5.7517638e-014           0.996223427              0.371133248              0.487415601              0.00111701504            -0                       -1.91074719e-010         -3.25969289e-010         -5.7517638e-014          7.08291279e-010          
216000                   16.5789474               1368                     30000                    7.3704832e-015           0                        1.62838692e-010          2.51631798e-010          4.03963901e-014          0.996522852              0.360084968              0.45856464               0.000975386334           -0                       -1.62838692e-010         -2.51631798e-010         -4.03963901e-014         5.7743037e-010           
216000                   17.6842105               1368                     30000                    5.51096764e-015          0                        1.32596143e-010          1.77321403e-010          2.51669113e-014          0.996840429              0.344811393              0.418409605              0.000807467036           -0                       -1.32596143e-010         -1.77321403e-010         -2.51669113e-014         4.4258919e-010           
216000                   18.7894737               1368                     30000                    3.66990206e-015          0                        1.00684329e-010          1.05710501e-010          1.25520181e-014          0.997175385              0.322941285              0.358678851              0.000602986411           -0                       -1.00684329e-010         -1.05710501e-010         -1.25520181e-014         3.07116815e-010          
216000                   19.8947368               1368                     30000                    1.9565846e-015           0                        6.78228124e-011          4.22244498e-011          3.58753193e-015          0.997526859              0.289976464              0.260123483              0.000344440189           -0                       -6.78228124e-011         -4.22244498e-011         -3.58753193e-015         1.77880837e-010          
216000                   21                       1368                     30000                    6.65643339e-016          0                        3.56500251e-011          1.79242901e-012          3.81900991e-025          0.997893908              0.236204609              0.0652554583             3.85032672e-009          -0                       -3.56500251e-011         -1.79242901e-012         -3.81900991e-025         7.30924792e-011          
