time[s](1)          x[mm](2)            T[K](3)             P[Pa](4)            eps[-](5)           rhoS[kg/m3](6)      Sv[1/m](7)          rp[micron](8)       K[m2](9)            TauBulk[-](10)      TauKnudsen[-](11)   TauViscous[-](12)   rhoG[kg/m3](13)     mwG[kg/kmol](14)    sumOmega[-](15)     C_x(16)             H_x(17)             AR_x(18)            N_x(19)             CH4_x(20)           CH3_x(21)           H2_x(22)            H_x(23)             C2H3_x(24)          C2H2_x(25)          C2H4_x(26)          C2H5_x(27)          C2H6_x(28)          C4H4_x(29)          C3H4_x(30)          C4H3_x(31)          C2H_x(32)           C6H6_x(33)          C3H3_x(34)          AR_x(35)            N2_x(36)            CH4_w(37)           CH3_w(38)           H2_w(39)            H_w(40)             C2H3_w(41)          C2H2_w(42)          C2H4_w(43)          C2H5_w(44)          C2H6_w(45)          C4H4_w(46)          C3H4_w(47)          C4H3_w(48)          C2H_w(49)           C6H6_w(50)          C3H3_w(51)          AR_w(52)            N2_w(53)            
108000              0                   1368                30000               0.774998474         483.789004          112509.835          13.7762509          8.64880064e-011     1.18523821          1.86326942          0.212572828         0.0422154624        16.0055482          1.00254469          1.00161937          3.98395573          0                   0                   0.985613957         9.83086633e-005     0.00638109134       4.35430817e-008     4.00169416e-008     0.00277781534       0.00392813009       1.01056981e-007     0.00116968798       2.60873534e-006     2.92174245e-007     7.69066955e-012     1.03362019e-011     2.01556413e-005     7.768428e-006       0                   0                   0.987920205         9.23473977e-005     0.000803738815      2.74226328e-009     6.7620188e-008      0.00451898012       0.00688509746       1.83493741e-007     0.00219752029       8.48783787e-006     7.31368943e-007     2.4538185e-011      1.61640904e-011     9.83682477e-005     1.89566444e-005     0                   0                   
108000              1.10526316          1368                30000               0.774998474         483.789004          112509.835          13.7762509          8.64880064e-011     1.18523821          1.86326942          0.212572828         0.0422154624        16.0055482          1.00254469          1.00161937          3.98395573          0                   0                   0.985613957         9.83086633e-005     0.00638109134       4.35430817e-008     4.00169416e-008     0.00277781534       0.00392813009       1.01056981e-007     0.00116968798       2.60873534e-006     2.92174245e-007     7.69066955e-012     1.03362019e-011     2.01556413e-005     7.768428e-006       0                   0                   0.987920205         9.23473977e-005     0.000803738815      2.74226328e-009     6.7620188e-008      0.00451898012       0.00688509746       1.83493741e-007     0.00219752029       8.48783787e-006     7.31368943e-007     2.4538185e-011      1.61640904e-011     9.83682477e-005     1.89566444e-005     0                   0                   
108000              2.21052632          1368                30000               0.774998485         483.788732          112509.767          13.7762615          8.64882746e-011     1.18523808          1.86326912          0.212572532         0.0422159207        16.0057219          1.00252911          1.00160601          3.98404038          0                   0                   0.985676111         9.82815505e-005     0.00635634118       4.33940772e-008     3.98214981e-008     0.00275930931       0.00391029287       1.00957893e-007     0.00116888311       2.5767573e-006      2.8976739e-007      7.59343714e-012     1.02739505e-011     1.99996108e-005     7.7308828e-006      0                   0                   0.98797178          9.23209269e-005     0.000800612686      2.73284958e-009     6.72891993e-008     0.00448882558       0.00685375857       1.83311833e-007     0.00219598433       8.38370245e-006     7.25336242e-007     2.42276881e-011     1.60665652e-011     9.76056916e-005     1.88648212e-005     0                   0                   
108000              3.31578947          1368                30000               0.774998506         483.788188          112509.63           13.7762828          8.64888099e-011     1.18523782          1.86326851          0.212571942         0.0422168356        16.0060688          1.00249797          1.00157928          3.9842094           0                   0                   0.985800384         9.8226253e-005      0.00630687449       4.30959419e-008     3.94299704e-008     0.0027223848        0.00387456077       1.00756784e-007     0.00116724291       2.51354637e-006     2.84967208e-007     7.40120523e-012     1.01496454e-011     1.96890604e-005     7.65539948e-006     0                   0                   0.988074929         9.22669834e-005     0.000794364895      2.71401495e-009     6.66261634e-008     0.00442866107       0.00679098202       1.8294271e-007      0.00219285536       8.17786296e-006     7.13305126e-007     2.36138394e-011     1.58718309e-011     9.60880055e-005     1.86802227e-005     0                   0                   
108000              4.42105263          1368                30000               0.774998538         483.787376          112509.425          13.7763146          8.64896101e-011     1.18523743          1.8632676           0.21257106          0.0422182041        16.0065877          1.00245126          1.00153911          3.98446216          0                   0                   0.98598671          9.81405934e-005     0.00623275893       4.26484309e-008     3.88411054e-008     0.00266721726       0.00382081926       1.0044772e-007      0.00116470561       2.42058134e-006     2.77801649e-007     7.11840363e-012     9.96368115e-012     1.92270051e-005     7.5411927e-006      0                   0                   0.98822965          9.21835325e-005     0.000785004429      2.68574539e-009     6.56290108e-008     0.00433877619       0.00669657166       1.82375635e-007     0.0021880177        7.8751445e-006      6.95346383e-007     2.27108135e-011     1.55805183e-011     9.38300074e-005     1.84009461e-005     0                   0                   
108000              5.52631579          1368                30000               0.77499858          483.786299          112509.153          13.7763568          8.64906718e-011     1.18523692          1.8632664           0.21256989          0.0422200213        16.0072766          1.00238897          1.00148545          3.98479778          0                   0                   0.986234982         9.80212214e-005     0.00613409716       4.20511978e-008     3.80530963e-008     0.00259407059       0.00374889865       1.00021638e-007     0.00116117649       2.30005169e-006     2.68314915e-007     6.75158719e-012     9.71664864e-012     1.86179485e-005     7.38708713e-006     0                   0                   0.988435943         9.20674435e-005     0.000772544909      2.64802121e-009     6.42947607e-008     0.00421960649       0.00657023696       1.81594213e-007     0.00218129399       7.48269001e-006     6.71571878e-007     2.15395819e-011     1.5193572e-011      9.08538304e-005     1.80241438e-005     0                   0                   
108000              6.63157895          1368                30000               0.774998632         483.78496           112508.816          13.7764092          8.64919906e-011     1.18523629          1.8632649           0.212568436         0.0422222806        16.0081332          1.00231113          1.00141817          3.98521502          0                   0                   0.98654506          9.78635084e-005     0.00601102815       4.13038209e-008     3.70636752e-008     0.00250329801       0.00365857665       9.94661504e-008     0.00115652527       2.15482246e-006     2.56570339e-007     6.309328e-012       9.40933216e-012     1.78678584e-005     7.19152517e-006     0                   0                   0.988693807         9.19143916e-005     0.000757004755      2.6008187e-009      6.26196775e-008     0.00407173474       0.00641159753       1.80576034e-007     0.00217244034       7.00984498e-006     6.42141734e-007     2.01275658e-011     1.4712245e-011      8.71887958e-005     1.75460429e-005     0                   0                   
108000              7.73684211          1368                30000               0.774998694         483.783367          112508.414          13.7764715          8.64935605e-011     1.18523553          1.86326312          0.212566706         0.0422249731        16.009154           1.00221775          1.00133715          3.98571232          0                   0                   0.986916759         9.76614012e-005     0.0058637291        4.0405843e-008      3.58702467e-008     0.0023953432        0.00354958201       9.87652868e-008     0.00115058271       1.98838662e-006     2.42654447e-007     5.8020717e-012      9.04270439e-012     1.69841265e-005     6.95258477e-006     0                   0                   0.989003248         9.17187216e-005     0.000738407417      2.5441126e-009      6.05994965e-008     0.00389589262       0.0062201895        1.79292217e-007     0.0021611399        6.46800071e-006     6.0727445e-007      1.85081729e-011     1.41380916e-011     8.28712138e-005     1.69619892e-005     0                   0                   
108000              8.84210526          1368                30000               0.774998766         483.781526          112507.95           13.7765436          8.64953744e-011     1.18523466          1.86326106          0.212564707         0.0422280878        16.0103349          1.00210885          1.00124223          3.98628777          0                   0                   0.987349851         9.74072276e-005     0.00569241779       3.93568252e-008     3.44700703e-008     0.00227074158       0.00342159936       9.7899179e-008      0.00114313608       1.80480366e-006     2.26682345e-007     5.24195837e-012     8.61791657e-012     1.597551e-005       6.6680149e-006      0                   0                   0.989364277         9.14732671e-005     0.000716781661      2.47787949e-009     5.82297313e-008     0.00369296259       0.00599547399       1.77706831e-007     0.00214699452       5.8703927e-006      5.67260335e-007     1.67202201e-011     1.34729503e-011     7.79440885e-005     1.62665337e-005     0                   0                   
108000              9.94736842          1368                30000               0.774998848         483.779447          112507.425          13.776625           8.64974234e-011     1.18523367          1.86325873          0.212562449         0.0422316109        16.0116706          1.00198449          1.00113323          3.98693912          0                   0                   0.98784406          9.70914471e-005     0.00549735543       3.81564222e-008     3.28605029e-008     0.00213012171       0.00327427534       9.68436894e-008     0.00113392364       1.60862289e-006     2.08804547e-007     4.64260835e-012     8.13628017e-012     1.48520456e-005     6.33529825e-006     0                   0                   0.989776919         9.11691176e-005     0.000692161924      2.40210251e-009     5.55060846e-008     0.00346398007       0.00573684787       1.75776239e-007     0.00212951441       5.23184904e-006     5.22478522e-007     1.48072443e-011     1.27189156e-011     7.24566908e-005     1.54535866e-005     0                   0                   
