time[s](1)               x[mm](2)                 T[K](3)                  P[Pa](4)                 rDepo[kmol/m2/s](5)      r1[kmol/m2/s](6)         r2[kmol/m2/s](7)         r3[kmol/m2/s](8)         r4[kmol/m2/s](9)         I_CH4[-](10)             I_C2H4[-](11)            I_C2H2[-](12)            I_C6H6[-](13)            R_CH4[kmol/m3/s](14)     R_C2H4[kmol/m3/s](15)    R_C2H2[kmol/m3/s](16)    R_C6H6[kmol/m3/s](17)    R_H2[kmol/m3/s](18)      
36000                    0                        1368                     30000                    2.24839098e-014          0                        3.66347658e-010          8.9764654e-010           2.42942613e-013          0.994211554              0.404623817              0.587298719              0.00185698971            -0                       -3.66347658e-010         -8.9764654e-010          -2.42942613e-013         1.63107068e-009          
36000                    1.10526316               1368                     30000                    2.24839098e-014          0                        3.66347658e-010          8.9764654e-010           2.42942613e-013          0.994211554              0.404623817              0.587298719              0.00185698971            -0                       -3.66347658e-010         -8.9764654e-010          -2.42942613e-013         1.63107068e-009          
36000                    2.21052632               1368                     30000                    2.23269949e-014          0                        3.64539732e-010          8.90636404e-010          2.40128903e-013          0.994234237              0.404463621              0.586620339              0.00184980227            -0                       -3.64539732e-010         -8.90636404e-010         -2.40128903e-013         1.62043625e-009          
36000                    3.31578947               1368                     30000                    2.20138055e-014          0                        3.60914508e-010          8.76661352e-010          2.34558207e-013          0.994279568              0.404134326              0.585247275              0.00183538866            -0                       -3.60914508e-010         -8.76661352e-010         -2.34558207e-013         1.59919404e-009          
36000                    4.42105263               1368                     30000                    2.15456322e-014          0                        3.55453425e-010          8.55812206e-010          2.26343101e-013          0.994347474              0.403617584              0.58314576               0.00181366892            -0                       -3.55453425e-010         -8.55812206e-010         -2.26343101e-013         1.56739809e-009          
36000                    5.52631579               1368                     30000                    2.09244368e-014          0                        3.48129119e-010          8.28226183e-010          2.15650279e-013          0.994437846              0.402884455              0.580262078              0.0017845165             -0                       -3.48129119e-010         -8.28226183e-010         -2.15650279e-013         1.52513137e-009          
36000                    6.63157895               1368                     30000                    2.01528857e-014          0                        3.38906037e-010          7.94088179e-010          2.02697923e-013          0.994550535              0.401893511              0.576518408              0.00174774932            -0                       -3.38906037e-010         -7.94088179e-010         -2.02697923e-013         1.47250835e-009          
36000                    7.73684211               1368                     30000                    1.92344007e-014          0                        3.27741365e-010          7.53632686e-010          1.87752208e-013          0.994685355              0.400587944              0.571806326              0.0017031157             -0                       -3.27741365e-010         -7.53632686e-010         -1.87752208e-013         1.40967867e-009          
36000                    8.84210526               1368                     30000                    1.81732315e-014          0                        3.14586339e-010          7.07146588e-010          1.7112295e-013           0.994842075              0.398891258              0.565976875              0.00165027305            -0                       -3.14586339e-010         -7.07146588e-010         -1.7112295e-013          1.33683263e-009          
36000                    9.94736842               1368                     30000                    1.69745616e-014          0                        2.99388119e-010          6.54973265e-010          1.53158504e-013          0.995020421              0.396700877              0.558825316              0.00158875555            -0                       -2.99388119e-010         -6.54973265e-010         -1.53158504e-013         1.25420898e-009          
36000                    11.0526316               1368                     30000                    1.56446655e-014          0                        2.82092438e-010          5.97518775e-010          1.34240121e-013          0.995220072              0.393878538              0.550067264              0.00151792504            -0                       -2.82092438e-010         -5.97518775e-010         -1.34240121e-013         1.16210637e-009          
36000                    12.1578947               1368                     30000                    1.41911474e-014          0                        2.62647422e-010          5.35261528e-010          1.1477622e-013           0.995440655              0.390235536              0.539300274              0.00143689543            -0                       -2.62647422e-010         -5.35261528e-010         -1.1477622e-013          1.0609007e-009           
36000                    13.2631579               1368                     30000                    1.26233245e-014          0                        2.41009227e-010          4.68768159e-010          9.51974046e-014          0.995681743              0.385509427              0.525939628              0.00134441465            -0                       -2.41009227e-010         -4.68768159e-010         -9.51974046e-014         9.51072205e-010          
36000                    14.3684211               1368                     30000                    1.09528686e-014          0                        2.17150641e-010          3.98721095e-010          7.59538127e-014          0.995942851              0.379325864              0.509105836              0.00123867673            -0                       -2.17150641e-010         -3.98721095e-010         -7.59538127e-014         8.33250238e-010          
36000                    15.4736842               1368                     30000                    9.19496005e-015          0                        1.91074849e-010          3.25969619e-010          5.75176693e-014          0.996223426              0.371133297              0.487415712              0.00111701515            -0                       -1.91074849e-010         -3.25969619e-010         -5.75176693e-014         7.08291871e-010          
36000                    16.5789474               1368                     30000                    7.37052131e-015          0                        1.62838825e-010          2.51632143e-010          4.03964338e-014          0.99652285               0.360085028              0.458564797              0.00097538667            -0                       -1.62838825e-010         -2.51632143e-010         -4.03964338e-014         5.77430982e-010          
36000                    17.6842105               1368                     30000                    5.51099185e-015          0                        1.32596265e-010          1.77321712e-010          2.51669527e-014          0.996840428              0.344811463              0.418409811              0.000807467534           -0                       -1.32596265e-010         -1.77321712e-010         -2.51669527e-014         4.42589743e-010          
36000                    18.7894737               1368                     30000                    3.66991504e-015          0                        1.00684423e-010          1.05710725e-010          1.2552046e-014           0.997175384              0.32294136               0.358679097              0.000602986969           -0                       -1.00684423e-010         -1.05710725e-010         -1.2552046e-014          3.07117227e-010          
36000                    19.8947368               1368                     30000                    1.95658939e-015          0                        6.78228632e-011          4.22245509e-011          3.5875419e-015           0.997526858              0.289976525              0.260123722              0.000344440627           -0                       -6.78228632e-011         -4.22245509e-011         -3.5875419e-015          1.7788104e-010           
36000                    21                       1368                     30000                    6.6564358e-016           0                        3.56500251e-011          1.79242901e-012          3.81900991e-025          0.997893908              0.236204609              0.0652554583             3.85032672e-009          -0                       -3.56500251e-011         -1.79242901e-012         -3.81900991e-025         7.30924792e-011          
