time[s](1)               x[mm](2)                 T[K](3)                  P[Pa](4)                 rDepo[kmol/m2/s](5)      r1[kmol/m2/s](6)         r2[kmol/m2/s](7)         r3[kmol/m2/s](8)         r4[kmol/m2/s](9)         I_CH4[-](10)             I_C2H4[-](11)            I_C2H2[-](12)            I_C6H6[-](13)            R_CH4[kmol/m3/s](14)     R_C2H4[kmol/m3/s](15)    R_C2H2[kmol/m3/s](16)    R_C6H6[kmol/m3/s](17)    R_H2[kmol/m3/s](18)      
432000                   0                        1368                     30000                    2.24833608e-014          0                        3.6634809e-010           8.97649326e-010          2.42944358e-013          0.994211545              0.404623785              0.587299013              0.00185699508            -0                       -3.6634809e-010          -8.97649326e-010         -2.42944358e-013         1.63107434e-009          
432000                   1.10526316               1368                     30000                    2.24833608e-014          0                        3.6634809e-010           8.97649326e-010          2.42944358e-013          0.994211545              0.404623785              0.587299013              0.00185699508            -0                       -3.6634809e-010          -8.97649326e-010         -2.42944358e-013         1.63107434e-009          
432000                   2.21052632               1368                     30000                    2.23264528e-014          0                        3.6454015e-010           8.90639113e-010          2.40130604e-013          0.994234229              0.40446359               0.586620629              0.00184980757            -0                       -3.6454015e-010          -8.90639113e-010         -2.40130604e-013         1.62043981e-009          
432000                   3.31578947               1368                     30000                    2.20132769e-014          0                        3.60914899e-010          8.76663912e-010          2.34559823e-013          0.994279561              0.404134295              0.585247556              0.0018353938             -0                       -3.60914899e-010         -8.76663912e-010         -2.34559823e-013         1.59919739e-009          
432000                   4.42105263               1368                     30000                    2.15451235e-014          0                        3.55453777e-010          8.55814549e-010          2.26344594e-013          0.994347467              0.403617553              0.583146025              0.00181367382            -0                       -3.55453777e-010         -8.55814549e-010         -2.26344594e-013         1.56740114e-009          
432000                   5.52631579               1368                     30000                    2.09239538e-014          0                        3.48129419e-010          8.2822825e-010           2.15651618e-013          0.99443784               0.402884424              0.580262323              0.00178452109            -0                       -3.48129419e-010         -8.2822825e-010          -2.15651618e-013         1.52513404e-009          
432000                   6.63157895               1368                     30000                    2.01524338e-014          0                        3.38906275e-010          7.94089921e-010          2.02699084e-013          0.99455053               0.401893479              0.576518628              0.00174775352            -0                       -3.38906275e-010         -7.94089921e-010         -2.02699084e-013         1.47251057e-009          
432000                   7.73684211               1368                     30000                    1.92339846e-014          0                        3.27741533e-010          7.53634068e-010          1.87753175e-013          0.994685351              0.400587911              0.571806515              0.00170311946            -0                       -3.27741533e-010         -7.53634068e-010         -1.87753175e-013         1.40968039e-009          
432000                   8.84210526               1368                     30000                    1.81728548e-014          0                        3.14586431e-010          7.07147589e-010          1.71123718e-013          0.994842072              0.398891222              0.565977026              0.00165027631            -0                       -3.14586431e-010         -7.07147589e-010         -1.71123718e-013         1.33683382e-009          
432000                   9.94736842               1368                     30000                    1.69742273e-014          0                        2.99388132e-010          6.54973882e-010          1.53159075e-013          0.99502042               0.396700836              0.558825422              0.00158875826            -0                       -2.99388132e-010         -6.54973882e-010         -1.53159075e-013         1.25420962e-009          
432000                   11.0526316               1368                     30000                    1.56443752e-014          0                        2.82092372e-010          5.97519022e-010          1.3424051e-013           0.995220072              0.39387849               0.550067318              0.00151792717            -0                       -2.82092372e-010         -5.97519022e-010         -1.3424051e-013          1.16210649e-009          
432000                   12.1578947               1368                     30000                    1.41909018e-014          0                        2.62647282e-010          5.35261436e-010          1.14776447e-013          0.995440656              0.390235478              0.539300269              0.00143689695            -0                       -2.62647282e-010         -5.35261436e-010         -1.14776447e-013         1.06090033e-009          
432000                   13.2631579               1368                     30000                    1.2623123e-014           0                        2.41009022e-010          4.68767781e-010          9.5197499e-014           0.995681745              0.385509356              0.525939553              0.00134441556            -0                       -2.41009022e-010         -4.68767781e-010         -9.5197499e-014          9.51071417e-010          
432000                   14.3684211               1368                     30000                    1.09527096e-014          0                        2.17150385e-010          3.98720499e-010          7.59538075e-014          0.995942853              0.379325776              0.509105681              0.00123867705            -0                       -2.17150385e-010         -3.98720499e-010         -7.59538075e-014         8.3324913e-010           
432000                   15.4736842               1368                     30000                    9.19484061e-015          0                        1.91074562e-010          3.25968892e-010          5.75176006e-014          0.996223429              0.371133188              0.487415467              0.0011170149             -0                       -1.91074562e-010         -3.25968892e-010         -5.75176006e-014         7.08290569e-010          
432000                   16.5789474               1368                     30000                    7.37043746e-015          0                        1.62838532e-010          2.51631385e-010          4.03963377e-014          0.996522853              0.360084897              0.458564451              0.000975385931           -0                       -1.62838532e-010         -2.51631385e-010         -4.03963377e-014         5.77429637e-010          
432000                   17.6842105               1368                     30000                    5.51093858e-015          0                        1.32595997e-010          1.77321032e-010          2.51668617e-014          0.996840431              0.34481131               0.418409359              0.000807466438           -0                       -1.32595997e-010         -1.77321032e-010         -2.51668617e-014         4.42588528e-010          
432000                   18.7894737               1368                     30000                    3.66988647e-015          0                        1.00684217e-010          1.05710232e-010          1.25519847e-014          0.997175386              0.322941197              0.358678556              0.00060298574            -0                       -1.00684217e-010         -1.05710232e-010         -1.25519847e-014         3.07116322e-010          
432000                   19.8947368               1368                     30000                    1.95657886e-015          0                        6.78227516e-011          4.22243285e-011          3.58751997e-015          0.99752686               0.28997639               0.260123197              0.000344439664           -0                       -6.78227516e-011         -4.22243285e-011         -3.58751997e-015         1.77880594e-010          
432000                   21                       1368                     30000                    6.65643049e-016          0                        3.56500251e-011          1.79242901e-012          3.81900991e-025          0.997893908              0.236204609              0.0652554583             3.85032672e-009          -0                       -3.56500251e-011         -1.79242901e-012         -3.81900991e-025         7.30924792e-011          
