time[s](1)               x[mm](2)                 T[K](3)                  P[Pa](4)                 rDepo[kmol/m2/s](5)      r1[kmol/m2/s](6)         r2[kmol/m2/s](7)         r3[kmol/m2/s](8)         r4[kmol/m2/s](9)         I_CH4[-](10)             I_C2H4[-](11)            I_C2H2[-](12)            I_C6H6[-](13)            R_CH4[kmol/m3/s](14)     R_C2H4[kmol/m3/s](15)    R_C2H2[kmol/m3/s](16)    R_C6H6[kmol/m3/s](17)    R_H2[kmol/m3/s](18)      
144000                   0                        1368                     30000                    2.24837601e-014          0                        3.66347776e-010          8.976473e-010            2.42943089e-013          0.994211551              0.404623808              0.587298799              0.00185699117            -0                       -3.66347776e-010         -8.976473e-010           -2.42943089e-013         1.63107168e-009          
144000                   1.10526316               1368                     30000                    2.24837601e-014          0                        3.66347776e-010          8.976473e-010            2.42943089e-013          0.994211551              0.404623808              0.587298799              0.00185699117            -0                       -3.66347776e-010         -8.976473e-010           -2.42943089e-013         1.63107168e-009          
144000                   2.21052632               1368                     30000                    2.23268471e-014          0                        3.64539846e-010          8.90637143e-010          2.40129367e-013          0.994234235              0.404463612              0.586620418              0.00184980372            -0                       -3.64539846e-010         -8.90637143e-010         -2.40129367e-013         1.62043722e-009          
144000                   3.31578947               1368                     30000                    2.20136614e-014          0                        3.60914614e-010          8.7666205e-010           2.34558647e-013          0.994279566              0.404134317              0.585247352              0.00183539007            -0                       -3.60914614e-010         -8.7666205e-010          -2.34558647e-013         1.59919495e-009          
144000                   4.42105263               1368                     30000                    2.15454935e-014          0                        3.55453521e-010          8.55812845e-010          2.26343509e-013          0.994347472              0.403617575              0.583145832              0.00181367026            -0                       -3.55453521e-010         -8.55812845e-010         -2.26343509e-013         1.56739892e-009          
144000                   5.52631579               1368                     30000                    2.0924305e-014           0                        3.48129201e-010          8.28226747e-010          2.15650644e-013          0.994437844              0.402884446              0.580262145              0.00178451775            -0                       -3.48129201e-010         -8.28226747e-010         -2.15650644e-013         1.5251321e-009           
144000                   6.63157895               1368                     30000                    2.01527624e-014          0                        3.38906102e-010          7.94088654e-010          2.0269824e-013           0.994550534              0.401893502              0.576518468              0.00174775047            -0                       -3.38906102e-010         -7.94088654e-010         -2.0269824e-013          1.47250895e-009          
144000                   7.73684211               1368                     30000                    1.92342872e-014          0                        3.2774141e-010           7.53633063e-010          1.87752472e-013          0.994685354              0.400587935              0.571806378              0.00170311673            -0                       -3.2774141e-010          -7.53633063e-010         -1.87752472e-013         1.40967914e-009          
144000                   8.84210526               1368                     30000                    1.81731288e-014          0                        3.14586364e-010          7.07146861e-010          1.7112316e-013           0.994842074              0.398891248              0.565976917              0.00165027394            -0                       -3.14586364e-010         -7.07146861e-010         -1.7112316e-013          1.33683296e-009          
144000                   9.94736842               1368                     30000                    1.69744705e-014          0                        2.99388122e-010          6.54973433e-010          1.5315866e-013           0.995020421              0.396700866              0.558825345              0.00158875629            -0                       -2.99388122e-010         -6.54973433e-010         -1.5315866e-013          1.25420915e-009          
144000                   11.0526316               1368                     30000                    1.56445863e-014          0                        2.8209242e-010           5.97518843e-010          1.34240227e-013          0.995220072              0.393878525              0.550067279              0.00151792563            -0                       -2.8209242e-010          -5.97518843e-010         -1.34240227e-013         1.1621064e-009           
144000                   12.1578947               1368                     30000                    1.41910804e-014          0                        2.62647384e-010          5.35261503e-010          1.14776282e-013          0.995440655              0.39023552               0.539300273              0.00143689585            -0                       -2.62647384e-010         -5.35261503e-010         -1.14776282e-013         1.0609006e-009           
144000                   13.2631579               1368                     30000                    1.26232695e-014          0                        2.41009171e-010          4.68768056e-010          9.51974304e-014          0.995681744              0.385509407              0.525939607              0.0013444149             -0                       -2.41009171e-010         -4.68768056e-010         -9.51974304e-014         9.5107199e-010           
144000                   14.3684211               1368                     30000                    1.09528253e-014          0                        2.17150571e-010          3.98720932e-010          7.59538113e-014          0.995942851              0.37932584               0.509105793              0.00123867682            -0                       -2.17150571e-010         -3.98720932e-010         -7.59538113e-014         8.33249936e-010          
144000                   15.4736842               1368                     30000                    9.19492748e-015          0                        1.91074771e-010          3.25969421e-010          5.75176505e-014          0.996223427              0.371133267              0.487415645              0.00111701508            -0                       -1.91074771e-010         -3.25969421e-010         -5.75176505e-014         7.08291516e-010          
144000                   16.5789474               1368                     30000                    7.37049844e-015          0                        1.62838745e-010          2.51631936e-010          4.03964076e-014          0.996522851              0.360084992              0.458564703              0.000975386469           -0                       -1.62838745e-010         -2.51631936e-010         -4.03964076e-014         5.77430615e-010          
144000                   17.6842105               1368                     30000                    5.51097732e-015          0                        1.32596192e-010          1.77321527e-010          2.51669279e-014          0.996840429              0.344811421              0.418409688              0.000807467235           -0                       -1.32596192e-010         -1.77321527e-010         -2.51669279e-014         4.42589411e-010          
144000                   18.7894737               1368                     30000                    3.66990725e-015          0                        1.00684367e-010          1.0571059e-010           1.25520293e-014          0.997175384              0.322941315              0.358678949              0.000602986634           -0                       -1.00684367e-010         -1.0571059e-010          -1.25520293e-014         3.0711698e-010           
144000                   19.8947368               1368                     30000                    1.95658652e-015          0                        6.78228327e-011          4.22244902e-011          3.58753592e-015          0.997526859              0.289976488              0.260123579              0.000344440364           -0                       -6.78228327e-011         -4.22244902e-011         -3.58753592e-015         1.77880918e-010          
144000                   21                       1368                     30000                    6.65643435e-016          0                        3.56500251e-011          1.79242901e-012          3.81900991e-025          0.997893908              0.236204609              0.0652554583             3.85032672e-009          -0                       -3.56500251e-011         -1.79242901e-012         -3.81900991e-025         7.30924792e-011          
